"id","learner_id","responded_at","archetype"
"217545","d8870b63-df5a-451d-a1ec-b1dddf5de28e","2017-10-31 05:03:21 UTC","Fixers"
"217715","40d560f5-abeb-4d46-873c-9df88a9b6871","2017-11-13 00:34:22 UTC","Hobbyists"
"222274","9e0c7978-38d1-4b72-b9b3-67726ed00e0b","2017-10-31 12:24:11 UTC","Advancers"
"224898","6f9436c0-cd06-4b11-abe2-a0677ea53301","2017-10-31 15:44:34 UTC","Vitalisers"
"227060","74a2f5db-c62f-4b05-9c4d-85aceca2f654","2017-10-31 19:08:36 UTC","Advancers"
"234862","0cc348b4-8bc7-4ab3-981f-a488f8c7c5dc","2017-12-04 09:33:42 UTC","Hobbyists"
"237601","0a0e5d34-c524-414b-b07b-9a3181e138ac","2017-11-20 08:50:41 UTC","Explorers"
"245628","1eff829d-e89d-4543-8faa-9868062fd54b","2017-11-02 16:50:02 UTC","Advancers"
"248023","3baeace7-ce95-426d-8dbd-619da67230d3","2017-11-02 21:21:29 UTC","Vitalisers"
"271582","c8878bd7-0a1c-4a22-88bc-b5d294128930","2017-11-06 09:45:09 UTC","Explorers"
"273557","467577ef-1d82-4eb6-b6da-a0a3532fa905","2017-11-06 00:47:26 UTC","Vitalisers"
"275792","8a3566d4-5c00-4ff2-bea3-c0c0f4c6cf8d","2017-11-07 08:36:25 UTC","Vitalisers"
"276816","753df4c8-fe90-4942-8f87-cf6fe69a59c8","2017-11-06 09:20:25 UTC","Hobbyists"
"279651","b18398bf-5e5b-4a53-a1fb-3e52b42799f6","2017-11-17 15:39:09 UTC","Vitalisers"
"280102","9185ab5f-627a-4eac-b5d7-7c354e36cb73","2017-11-06 13:36:25 UTC","Vitalisers"
"284656","8655130b-fc45-430b-8fc6-8120ad50a03e","2017-11-06 22:22:55 UTC","Vitalisers"
"287676","0ec93aa4-e3fa-4e82-bef5-3fc4652dd6a6","2017-11-06 18:43:00 UTC","Hobbyists"
"298442","26ab6c32-f62b-4e5c-b87f-f723f388393e","2017-11-07 15:25:34 UTC","Advancers"
"301186","6668cc3f-c436-49f2-a783-181b6e26185c","2017-11-07 14:02:42 UTC","Advancers"
"308573","7fb0ee3e-264d-45f2-8c93-397edbf464f4","2017-11-09 10:46:01 UTC","Vitalisers"
"314317","7f52aeb2-68b1-4d89-b167-d6b5a104138b","2017-11-08 15:47:18 UTC","Vitalisers"
"315086","8e9c98e5-c210-4c5b-ade6-6133afdea98f","2017-11-08 16:38:27 UTC","Advancers"
"317517","6f070d2c-c4eb-4220-a9bb-dacda6525ced","2017-11-08 20:26:39 UTC","Other"
"331449","a1bd2652-5679-4af4-a90f-1751f07ca77e","2017-11-10 09:11:09 UTC","Advancers"
"333294","5ab3ad23-53d7-4b68-a5f4-945822ebad00","2017-11-13 10:46:50 UTC","Vitalisers"
"337405","6d1fb428-08c3-47ab-9e93-ad20e078de46","2017-11-10 15:09:30 UTC","Preparers"
"348641","a6756552-aab4-466b-80ab-419d9f80b709","2017-11-12 23:40:17 UTC","Vitalisers"
"350989","51138f11-13e7-48f6-8836-b959187754f6","2017-11-16 12:20:51 UTC","Explorers"
"352655","a60c5ddc-0450-448b-87a4-61970486f56b","2017-11-12 13:34:43 UTC","Explorers"
"359021","e0830dc6-01e7-4f0e-ae67-80362902ce29","2017-11-15 09:53:20 UTC","Explorers"
"359897","8faac894-b093-46c4-8bca-ba3a896e4463","2017-11-13 06:57:39 UTC","Vitalisers"
"359912","a18a070f-44dc-4bc0-9060-ae23245c1e10","2017-11-13 07:00:02 UTC","Other"
"361467","01ca869d-565c-47c1-95e6-2aa04bf3ffd6","2017-11-16 00:27:17 UTC","Fixers"
"363096","3ad2b4d9-e75f-436c-83b5-8028d8672c3a","2017-11-13 12:02:46 UTC","Advancers"
"366916","59bf966e-d125-42a6-bc36-feb360ea2d1d","2017-11-14 00:20:51 UTC","Hobbyists"
"367328","bfb5c392-39aa-4a51-afd5-884aaf942b05","2017-11-13 16:08:14 UTC","Advancers"
"369182","6325f133-be5f-4f90-8b8c-875bea2bf165","2017-11-13 17:23:30 UTC","Flourishers"
"369603","fc07cae8-82d4-4215-b421-52af493022a9","2017-11-17 22:05:38 UTC","Explorers"
"375633","a50b2f23-810b-4755-8ca7-f3c3f6067309","2017-11-13 19:29:25 UTC","Vitalisers"
"380514","07b81fad-0b67-4c9f-a60a-e14dc3c5c531","2017-11-13 21:24:14 UTC","Other"
